multiplicity_family,analysis_role,outcome,contrast,n_rows,n_finite_p
core_species__detection__did_active_0_14_day,core_species,detection,did_active_0_14_day,49,48
core_species__detection__did_early_egg,core_species,detection,did_early_egg,49,48
core_species__detection__did_early_pre,core_species,detection,did_early_pre,49,48
core_species__detection__did_immediate_pre,core_species,detection,did_immediate_pre,49,48
core_species__detection__did_late_egg,core_species,detection,did_late_egg,49,48
core_species__detection__did_pre_14_day,core_species,detection,did_pre_14_day,49,48
core_species__detection__did_pre_7_day,core_species,detection,did_pre_7_day,49,48
core_species__detection__did_spawn_start,core_species,detection,did_spawn_start,49,48
core_species__detection__near_minus_reference_baseline,core_species,detection,near_minus_reference_baseline,49,48
core_species__detection__near_minus_reference_early_egg,core_species,detection,near_minus_reference_early_egg,49,48
core_species__detection__near_minus_reference_early_pre,core_species,detection,near_minus_reference_early_pre,49,48
core_species__detection__near_minus_reference_immediate_pre,core_species,detection,near_minus_reference_immediate_pre,49,48
core_species__detection__near_minus_reference_late_egg,core_species,detection,near_minus_reference_late_egg,49,48
core_species__detection__near_minus_reference_spawn_start,core_species,detection,near_minus_reference_spawn_start,49,48
core_species__positive_numeric_count_given_detection__did_active_0_14_day,core_species,positive_numeric_count_given_detection,did_active_0_14_day,49,46
core_species__positive_numeric_count_given_detection__did_early_egg,core_species,positive_numeric_count_given_detection,did_early_egg,49,46
core_species__positive_numeric_count_given_detection__did_early_pre,core_species,positive_numeric_count_given_detection,did_early_pre,49,46
core_species__positive_numeric_count_given_detection__did_immediate_pre,core_species,positive_numeric_count_given_detection,did_immediate_pre,49,46
core_species__positive_numeric_count_given_detection__did_late_egg,core_species,positive_numeric_count_given_detection,did_late_egg,49,46
core_species__positive_numeric_count_given_detection__did_pre_14_day,core_species,positive_numeric_count_given_detection,did_pre_14_day,49,46
core_species__positive_numeric_count_given_detection__did_pre_7_day,core_species,positive_numeric_count_given_detection,did_pre_7_day,49,46
core_species__positive_numeric_count_given_detection__did_spawn_start,core_species,positive_numeric_count_given_detection,did_spawn_start,49,46
core_species__positive_numeric_count_given_detection__near_minus_reference_baseline,core_species,positive_numeric_count_given_detection,near_minus_reference_baseline,49,46
core_species__positive_numeric_count_given_detection__near_minus_reference_early_egg,core_species,positive_numeric_count_given_detection,near_minus_reference_early_egg,49,46
core_species__positive_numeric_count_given_detection__near_minus_reference_early_pre,core_species,positive_numeric_count_given_detection,near_minus_reference_early_pre,49,46
core_species__positive_numeric_count_given_detection__near_minus_reference_immediate_pre,core_species,positive_numeric_count_given_detection,near_minus_reference_immediate_pre,49,46
core_species__positive_numeric_count_given_detection__near_minus_reference_late_egg,core_species,positive_numeric_count_given_detection,near_minus_reference_late_egg,49,46
core_species__positive_numeric_count_given_detection__near_minus_reference_spawn_start,core_species,positive_numeric_count_given_detection,near_minus_reference_spawn_start,49,46
specificity_comparator__detection__did_active_0_14_day,specificity_comparator,detection,did_active_0_14_day,2,2
specificity_comparator__detection__did_early_egg,specificity_comparator,detection,did_early_egg,2,2
specificity_comparator__detection__did_early_pre,specificity_comparator,detection,did_early_pre,2,2
specificity_comparator__detection__did_immediate_pre,specificity_comparator,detection,did_immediate_pre,2,2
specificity_comparator__detection__did_late_egg,specificity_comparator,detection,did_late_egg,2,2
specificity_comparator__detection__did_pre_14_day,specificity_comparator,detection,did_pre_14_day,2,2
specificity_comparator__detection__did_pre_7_day,specificity_comparator,detection,did_pre_7_day,2,2
specificity_comparator__detection__did_spawn_start,specificity_comparator,detection,did_spawn_start,2,2
specificity_comparator__detection__near_minus_reference_baseline,specificity_comparator,detection,near_minus_reference_baseline,2,2
specificity_comparator__detection__near_minus_reference_early_egg,specificity_comparator,detection,near_minus_reference_early_egg,2,2
specificity_comparator__detection__near_minus_reference_early_pre,specificity_comparator,detection,near_minus_reference_early_pre,2,2
specificity_comparator__detection__near_minus_reference_immediate_pre,specificity_comparator,detection,near_minus_reference_immediate_pre,2,2
specificity_comparator__detection__near_minus_reference_late_egg,specificity_comparator,detection,near_minus_reference_late_egg,2,2
specificity_comparator__detection__near_minus_reference_spawn_start,specificity_comparator,detection,near_minus_reference_spawn_start,2,2
